"2023-01-31 22:48:52pm "," insert "," INSERT INTO product_review(`product_id`, `star_rate`, `review_title`, `review_content`, `customer_id`, `customer_name`, `customer_email`, `review_date`) VALUES('118', '4', 'Good product', 'test test', '1', 'Roshni Mistry', 'roshni@gmail.com', '2023-01-31') "," ::1 "," URL: http://localhost/EthnicWear/submit-rating-reviews "," R: http://localhost/EthnicWear/order-detail?id=2"
"2023-01-31 22:49:07pm "," update "," UPDATE product_details SET `view_count` = 335 WHERE 1=1  and product_id = '118' "," ::1 "," URL: http://localhost/EthnicWear/product-detail/women-maroon-solid-straight-kurta-m-maroon-vnky8c75-118 "," R: http://localhost/EthnicWear/shop"
"2023-01-31 22:52:13pm "," update "," UPDATE product_details SET `view_count` = 336 WHERE 1=1  and product_id = '118' "," ::1 "," URL: http://localhost/EthnicWear/product-detail/women-maroon-solid-straight-kurta-m-maroon-vnky8c75-118 "," R: http://localhost/EthnicWear/shop"
"2023-01-31 22:52:54pm "," update "," UPDATE product_details SET `view_count` = 337 WHERE 1=1  and product_id = '118' "," ::1 "," URL: http://localhost/EthnicWear/product-detail/women-maroon-solid-straight-kurta-m-maroon-vnky8c75-118 "," R: "
"2023-01-31 22:53:08pm "," update "," UPDATE product_details SET `view_count` = 338 WHERE 1=1  and product_id = '118' "," ::1 "," URL: http://localhost/EthnicWear/product-detail/women-maroon-solid-straight-kurta-m-maroon-vnky8c75-118 "," R: http://localhost/EthnicWear/shop"
"2023-01-31 22:53:23pm "," update "," UPDATE product_details SET `view_count` = 339 WHERE 1=1  and product_id = '118' "," ::1 "," URL: http://localhost/EthnicWear/product-detail/women-maroon-solid-straight-kurta-m-maroon-vnky8c75-118 "," R: http://localhost/EthnicWear/shop"
"2023-01-31 22:53:28pm "," update "," UPDATE product_details SET `view_count` = 340 WHERE 1=1  and product_id = '118' "," ::1 "," URL: http://localhost/EthnicWear/product-detail/women-maroon-solid-straight-kurta-m-maroon-vnky8c75-118 "," R: "
"2023-01-31 22:56:38pm "," update "," UPDATE product_details SET `view_count` = 341 WHERE 1=1  and product_id = '118' "," ::1 "," URL: http://localhost/EthnicWear/product-detail/women-maroon-solid-straight-kurta-m-maroon-vnky8c75-118 "," R: "
"2023-01-31 22:56:41pm "," update "," UPDATE product_details SET `view_count` = 342 WHERE 1=1  and product_id = '118' "," ::1 "," URL: http://localhost/EthnicWear/product-detail/women-maroon-solid-straight-kurta-m-maroon-vnky8c75-118 "," R: "
"2023-01-31 22:56:50pm "," update "," UPDATE product_details SET `view_count` = 343 WHERE 1=1  and product_id = '118' "," ::1 "," URL: http://localhost/EthnicWear/product-detail/women-maroon-solid-straight-kurta-m-maroon-vnky8c75-118 "," R: "
"2023-01-31 22:56:54pm "," update "," UPDATE product_details SET `view_count` = 344 WHERE 1=1  and product_id = '118' "," ::1 "," URL: http://localhost/EthnicWear/product-detail/women-maroon-solid-straight-kurta-m-maroon-vnky8c75-118 "," R: "
"2023-01-31 22:58:40pm "," update "," UPDATE product_details SET `view_count` = 345 WHERE 1=1  and product_id = '118' "," ::1 "," URL: http://localhost/EthnicWear/product-detail/women-maroon-solid-straight-kurta-m-maroon-vnky8c75-118 "," R: "
"2023-01-31 22:59:25pm "," update "," UPDATE product_details SET `view_count` = 346 WHERE 1=1  and product_id = '118' "," ::1 "," URL: http://localhost/EthnicWear/product-detail/women-maroon-solid-straight-kurta-m-maroon-vnky8c75-118 "," R: "
"2023-01-31 22:59:26pm "," update "," UPDATE product_details SET `view_count` = 347 WHERE 1=1  and product_id = '118' "," ::1 "," URL: http://localhost/EthnicWear/product-detail/women-maroon-solid-straight-kurta-m-maroon-vnky8c75-118 "," R: "
"2023-01-31 22:59:26pm "," update "," UPDATE product_details SET `view_count` = 348 WHERE 1=1  and product_id = '118' "," ::1 "," URL: http://localhost/EthnicWear/product-detail/women-maroon-solid-straight-kurta-m-maroon-vnky8c75-118 "," R: "
"2023-01-31 22:59:27pm "," update "," UPDATE product_details SET `view_count` = 349 WHERE 1=1  and product_id = '118' "," ::1 "," URL: http://localhost/EthnicWear/product-detail/women-maroon-solid-straight-kurta-m-maroon-vnky8c75-118 "," R: "
"2023-01-31 22:59:27pm "," update "," UPDATE product_details SET `view_count` = 350 WHERE 1=1  and product_id = '118' "," ::1 "," URL: http://localhost/EthnicWear/product-detail/women-maroon-solid-straight-kurta-m-maroon-vnky8c75-118 "," R: "
"2023-01-31 22:59:30pm "," update "," UPDATE product_details SET `view_count` = 351 WHERE 1=1  and product_id = '118' "," ::1 "," URL: http://localhost/EthnicWear/product-detail/women-maroon-solid-straight-kurta-m-maroon-vnky8c75-118 "," R: "
"2023-01-31 22:59:30pm "," update "," UPDATE product_details SET `view_count` = 352 WHERE 1=1  and product_id = '118' "," ::1 "," URL: http://localhost/EthnicWear/product-detail/women-maroon-solid-straight-kurta-m-maroon-vnky8c75-118 "," R: "
